Voter_id,Candidate_id,Vote_Time
a9de86e2-d375-40f5-94b2-19a5e2be0a04,940da220-a451-4cc9-acc5-ce8b8697542a,1980-01-01 13:02:53
05814d63-ffe2-463d-882c-17941516b2c6,4714f68f-d08a-4f68-8a92-0be8f94687c0,1980-01-01 13:36:47
1e1c5af7-a4b5-4ec4-8d2e-85965ff5ecaf,4714f68f-d08a-4f68-8a92-0be8f94687c0,1980-01-01 11:25:16
da64a678-911f-4753-92bb-678ea8707f25,4714f68f-d08a-4f68-8a92-0be8f94687c0,1980-01-01 13:55:46
22cda220-615b-4f5c-9149-51896d6db2c6,4714f68f-d08a-4f68-8a92-0be8f94687c0,1980-01-01 16:52:54
27c3d2ad-0662-4f93-af46-2ba948b4f0da,4714f68f-d08a-4f68-8a92-0be8f94687c0,1980-01-01 09:17:12
f3d90b84-4643-4eba-8012-e2df7a36dfca,4714f68f-d08a-4f68-8a92-0be8f94687c0,1980-01-01 12:32:50
0f47fba5-7003-467d-89ca-10267bf75c53,4714f68f-d08a-4f68-8a92-0be8f94687c0,1980-01-01 13:43:48
a347fc56-4a80-45f8-aeb7-83396492f580,4714f68f-d08a-4f68-8a92-0be8f94687c0,1980-01-01 14:51:39
83a4d99f-9e4c-410c-a31f-45b3fc69968b,4714f68f-d08a-4f68-8a92-0be8f94687c0,1980-01-01 16:21:00
c2970b7c-a417-4450-840a-589f2abd6769,bd7098b3-4a02-4c6c-87a5-b5c96a5619a0,1980-01-01 13:52:28
c8facb09-8e64-4134-8e51-6998bf6488d4,940da220-a451-4cc9-acc5-ce8b8697542a,1980-01-01 10:54:00
a5014132-aa4c-40da-902b-23d142197a15,4714f68f-d08a-4f68-8a92-0be8f94687c0,1980-01-01 13:20:44
1036431a-38e6-442c-bd5b-93ac67d05cd3,bd7098b3-4a02-4c6c-87a5-b5c96a5619a0,1980-01-01 15:37:05
78e6093a-67ef-458b-be25-dea3b5c663af,bd7098b3-4a02-4c6c-87a5-b5c96a5619a0,1980-01-01 08:06:33
15ffda40-007e-4938-9196-55439bdc37b9,4714f68f-d08a-4f68-8a92-0be8f94687c0,1980-01-01 16:10:31
2d9b9d0f-613d-4c86-8709-a7767ecc6508,bd7098b3-4a02-4c6c-87a5-b5c96a5619a0,1980-01-01 10:02:08
57f2363f-1073-47ca-b4ed-6338ecb63504,940da220-a451-4cc9-acc5-ce8b8697542a,1980-01-01 16:57:02
14feb366-38e0-4509-ae5e-badcd49ba68a,4714f68f-d08a-4f68-8a92-0be8f94687c0,1980-01-01 16:26:13
98bc42fb-d46b-437f-b50e-a83085b5988e,4714f68f-d08a-4f68-8a92-0be8f94687c0,1980-01-01 09:39:04
5d3be212-0e05-4adb-afa3-5a7517052f46,4714f68f-d08a-4f68-8a92-0be8f94687c0,1980-01-01 13:29:48
845f49a0-6c90-4b21-8aeb-2fb8868f0667,bd7098b3-4a02-4c6c-87a5-b5c96a5619a0,1980-01-01 11:20:48
f65f579d-a7ba-4c79-bb26-394fb27a2178,940da220-a451-4cc9-acc5-ce8b8697542a,1980-01-01 10:10:47
11d6a2bb-c1cd-4a48-84e3-18fc2040a260,940da220-a451-4cc9-acc5-ce8b8697542a,1980-01-01 12:33:07
